Beograd;Belgrád
Београд;Belgrád
Brestovec;Szilas
egri;Eger
halásztelki;Halásztelek
Komárno;Komárom
Komoča;Kamocsa
Martonoš;Martonos
Мартонош;Martonos
Mattersburg;Nagymarton
Okoličná;Ekel
Sikonda;Komló
sikondai;Komló
Szalki;Dunaújváros
Tășnad;Tasnád
Tăşnad;Tasnád
Tasnadi;Tasnád
Teriakovce;Bakostörék
Tornaľa;Tornalja
Tőserdő;Lakitelek
Vieska;Kisújfalu
